hgnc_symbol	ensembl_canonical_transcript	genome_nexus_canonical_transcript	uniprot_canonical_transcript	mskcc_canonical_trancript
TRAV15	ENSG00000258482	ENSG00000258482	ENSG00000258482	ENSG00000258482
OR52U1P	ENSG00000232381	ENSG00000232381	ENSG00000232381	ENSG00000232381
NMNAT2	ENST00000287713	ENST00000287713	ENST00000287713	ENST00000287713
TMEM244	ENST00000438392	ENST00000438392	ENST00000368143	ENST00000368143
SETD5	ENST00000402198	ENST00000402198	ENST00000402198	ENST00000402198
C9orf169	ENST00000359069	ENST00000359069	ENST00000359069	ENST00000359069
RNU4-66P	ENSG00000202069	ENSG00000202069	ENSG00000202069	ENSG00000202069
BIRC3	ENST00000263464	ENST00000263464	ENST00000263464	ENST00000263464
MON1A	ENST00000296473	ENST00000296473	ENST00000296473	ENST00000296473
FAM102A	ENST00000373095	ENST00000373095	ENST00000373095	ENST00000373095
LRRC30	ENSG00000206422	ENSG00000206422	ENST00000383467	ENST00000383467
GID4	ENST00000268719	ENST00000268719	ENST00000268719	ENST00000268719
SH3BGRL3	ENST00000270792	ENST00000270792	ENST00000270792	ENST00000270792
ISCA1P3	ENSG00000261965	ENSG00000261965	ENSG00000261965	ENSG00000261965
C20orf141	ENST00000380589	ENST00000380589	ENST00000380589	ENST00000380589
PDCL3P4	ENSG00000244119	ENSG00000244119	ENSG00000244119	ENSG00000244119
KIF25-AS1	ENST00000456585	ENST00000456585	ENST00000456585	ENST00000456585
TRIM36-IT1	ENSG00000250472	ENSG00000250472	ENSG00000250472	ENSG00000250472
RNU6-353P	ENSG00000201136	ENSG00000201136	ENSG00000201136	ENSG00000201136
BOLA3P3				
DNAJB6	ENST00000262177	ENST00000262177	ENST00000262177	ENST00000262177
NANOGNB	ENSG00000205857	ENSG00000205857	ENST00000382119	ENST00000382119
SOX21	ENSG00000125285	ENSG00000125285	ENST00000376945	ENST00000376945
BMP8B	ENST00000372827	ENST00000372827	ENST00000372827	ENST00000372827
COMMD1	ENST00000311832	ENST00000311832	ENST00000311832	ENST00000311832
MIR3180-1	ENSG00000258354	ENSG00000258354	ENSG00000258354	ENSG00000258354
CKS1BP7	ENSG00000254331	ENSG00000254331	ENSG00000254331	ENSG00000254331
WDR64	ENST00000366552	ENST00000366552	ENST00000366552	ENST00000366552
HMGN1P29				
RN7SKP270	ENSG00000223229	ENSG00000223229	ENSG00000223229	ENSG00000223229
STK38L	ENST00000389032	ENST00000389032	ENST00000389032	ENST00000389032
ZNF33B	ENSG00000196693	ENSG00000196693	ENST00000359467	ENST00000359467
LINC01646				
RN7SL287P	ENSG00000264276	ENSG00000264276	ENSG00000264276	ENSG00000264276
RNU7-83P				
LINC02559				
AZIN1	ENST00000337198	ENST00000337198	ENST00000337198	ENST00000337198
MIR6511A1				
RNA5SP300	ENSG00000212499	ENSG00000212499	ENSG00000212499	ENSG00000212499
MIR5684	ENSG00000263800	ENSG00000263800	ENSG00000263800	ENSG00000263800
PRRC2B	ENST00000357304	ENST00000357304	ENST00000357304	ENST00000357304
FZD6	ENST00000358755	ENST00000358755	ENST00000358755	ENST00000358755
C11orf73	ENST00000278483	ENST00000278483	ENST00000278483	ENST00000278483
RNU6-732P	ENSG00000251842	ENSG00000251842	ENSG00000251842	ENSG00000251842
FAM107B	ENST00000181796	ENST00000181796	ENST00000378458	ENST00000378458
MTFP1	ENST00000266263	ENST00000266263	ENST00000266263	ENST00000266263
NIFKP1	ENSG00000214434	ENSG00000214434	ENSG00000214434	ENSG00000214434
ZNF890P	ENST00000422060	ENST00000422060	ENST00000422060	ENST00000422060
MRPL30P1				
SPICE1	ENST00000295872	ENST00000295872	ENST00000295872	ENST00000295872
DNMBP	ENST00000324109	ENST00000324109	ENST00000324109	ENST00000324109
LEKR1	ENST00000491763	ENST00000491763	ENST00000470811	ENST00000470811
C18orf41				
SPPL2B	ENST00000452401	ENST00000452401	ENST00000613503	ENST00000613503
FTH1P9	ENSG00000251395	ENSG00000251395	ENSG00000251395	ENSG00000251395
FUT3	ENST00000303225	ENST00000303225	ENST00000303225	ENST00000303225
OLFM2	ENST00000264833	ENST00000264833	ENST00000264833	ENST00000264833
FAM185A	ENST00000413034	ENST00000413034	ENST00000413034	ENST00000413034
CAND2	ENST00000456430	ENST00000456430	ENST00000456430	ENST00000456430
FOXD2-AS1	ENSG00000237424	ENSG00000237424	ENSG00000237424	ENSG00000237424
BNIP3P11				
LINC00240	ENST00000607607	ENST00000607607	ENST00000607607	ENST00000607607
HIST1H3J	ENST00000359303	ENST00000359303	ENST00000359303	ENST00000359303
PSPC1	ENST00000338910	ENST00000338910	ENST00000338910	ENST00000338910
SNORA17B				
CPNE8	ENST00000331366	ENST00000331366	ENST00000331366	ENST00000331366
RN7SL597P	ENSG00000244264	ENSG00000244264	ENSG00000244264	ENSG00000244264
MIR219A2				
MTND5P40				
MIR4712	ENSG00000264109	ENSG00000264109	ENSG00000264109	ENSG00000264109
TMEM75	ENSG00000256655	ENSG00000256655	ENSG00000256655	ENSG00000256655
TXNDC17	ENST00000250101	ENST00000250101	ENST00000250101	ENST00000250101
ANKRD24	ENST00000600132	ENST00000600132	ENST00000318934	ENST00000318934
RPL5P14	ENSG00000243914	ENSG00000243914	ENSG00000243914	ENSG00000243914
MAMDC4	ENST00000317446	ENST00000317446	ENST00000445819	ENST00000445819
XRN2	ENST00000377191	ENST00000377191	ENST00000377191	ENST00000377191
ALPPL1				
POM121L6P				
WRN	ENST00000298139	ENST00000298139	ENST00000298139	ENST00000298139
IGHD7-27	ENST00000604319	ENST00000604319	ENST00000604319	ENST00000604319
THUMPD3-AS1				
FAM87B	ENSG00000177757	ENSG00000177757	ENSG00000177757	ENSG00000177757
TRIM69	ENST00000559390	ENST00000559390	ENST00000329464	ENST00000329464
IGHV3-13	ENST00000603568	ENST00000603568	ENST00000603568	ENST00000603568
ERVV-1	ENSG00000269526	ENSG00000269526	ENST00000602168	ENST00000602168
DTL	ENST00000366991	ENST00000366991	ENST00000366991	ENST00000366991
PASK	ENST00000358649	ENST00000358649	ENST00000234040	ENST00000234040
RN7SL727P	ENSG00000241248	ENSG00000241248	ENSG00000241248	ENSG00000241248
CCDC96	ENSG00000173013	ENSG00000173013	ENST00000310085	ENST00000310085
RN7SL42P	ENSG00000263999	ENSG00000263999	ENSG00000263999	ENSG00000263999
LINC01593				
DDX60	ENST00000393743	ENST00000393743	ENST00000393743	ENST00000393743
NUDCP1				
RMRPP3	ENSG00000252465	ENSG00000252465	ENSG00000252465	ENSG00000252465
HMGB1P31	ENSG00000233266	ENSG00000233266	ENSG00000233266	ENSG00000233266
NPTX2	ENST00000265634	ENST00000265634	ENST00000265634	ENST00000265634
SMG8	ENST00000543872	ENST00000543872	ENST00000300917	ENST00000300917
GTF2F2	ENST00000340473	ENST00000340473	ENST00000340473	ENST00000340473
ERCC6L	ENST00000334463	ENST00000334463	ENST00000334463	ENST00000334463
GSDME				
JKAMP	ENST00000261247	ENST00000261247	ENST00000261247	ENST00000261247
MRT17				
RPS12P9				
SDHDP1				
ARHGAP27P1				
OR9A5P				
PRMT5P1				
NEXN-AS1	ENST00000421331	ENST00000421331	ENST00000421331	ENST00000421331
RACH				
DUXAP12				
DENND6B	ENST00000413817	ENST00000413817	ENST00000413817	ENST00000413817
MB21D1	ENST00000370315	ENST00000370315	ENST00000370315	ENST00000370315
RPL21P103	ENSG00000241423	ENSG00000241423	ENSG00000241423	ENSG00000241423
TPM4P1	ENSG00000232230	ENSG00000232230	ENSG00000232230	ENSG00000232230
CGF1				
DDOST	ENST00000375048	ENST00000375048	ENST00000375048	ENST00000375048
ADAMTS14	ENST00000373208	ENST00000373208	ENST00000373207	ENST00000373207
RPL19P8				
LINC01539				
PIM3	ENST00000360612	ENST00000360612	ENST00000360612	ENST00000360612
HFE	ENST00000357618	ENST00000357618	ENST00000357618	ENST00000357618
RPL7AP9				
MIR4657	ENSG00000264326	ENSG00000264326	ENSG00000264326	ENSG00000264326
RNU6-1274P	ENSG00000207287	ENSG00000207287	ENSG00000207287	ENSG00000207287
LINC02313				
S100A1	ENST00000292169	ENST00000292169	ENST00000292169	ENST00000292169
CD3W				
RPL7AP27				
RIC3	ENST00000309737	ENST00000309737	ENST00000309737	ENST00000309737
APOL2	ENST00000249066	ENST00000249066	ENST00000249066	ENST00000249066
B4GALT7	ENST00000029410	ENST00000029410	ENST00000029410	ENST00000029410
RBMS1P1	ENST00000417216	ENST00000417216	ENST00000417216	ENST00000417216
MRAP	ENST00000399784	ENST00000399784	ENST00000303645	ENST00000303645
PYCR1	ENST00000329875	ENST00000329875	ENST00000329875	ENST00000329875
C1orf100	ENST00000308105	ENST00000308105	ENST00000308105	ENST00000308105
FRA7H				
PRH1	ENSG00000231887	ENSG00000231887	ENST00000381847	ENST00000381847
RPLP0P1	ENSG00000226229	ENSG00000226229	ENSG00000226229	ENSG00000226229
IBTK	ENST00000306270	ENST00000306270	ENST00000306270	ENST00000306270
RPSAP65				
CMD1B				
RN7SL718P	ENSG00000264423	ENSG00000264423	ENSG00000264423	ENSG00000264423
NCOR1P3	ENSG00000233601	ENSG00000233601	ENSG00000233601	ENSG00000233601
OR5R1	ENSG00000174942	ENSG00000174942	ENST00000312253	ENST00000312253
RNA5SP317	ENST00000607146	ENST00000607146	ENST00000607146	ENST00000607146
YIPF7	ENST00000332990	ENST00000332990	ENST00000332990	ENST00000332990
NDUFAF2	ENST00000296597	ENST00000296597	ENST00000296597	ENST00000296597
RPS27P16	ENSG00000225907	ENSG00000225907	ENSG00000225907	ENSG00000225907
JSRP1	ENST00000300961	ENST00000300961	ENST00000300961	ENST00000300961
IGHV3-30-5				
RNU6-1232P	ENSG00000252108	ENSG00000252108	ENSG00000252108	ENSG00000252108
OXA1L	ENST00000285848	ENST00000285848	ENST00000285848	ENST00000285848
POLR2KP1	ENSG00000258284	ENSG00000258284	ENSG00000258284	ENSG00000258284
BASP1	ENST00000322611	ENST00000322611	ENST00000322611	ENST00000322611
DHFRP1	ENST00000307796	ENST00000307796	ENST00000307796	ENST00000307796
PAWR	ENST00000328827	ENST00000328827	ENST00000328827	ENST00000328827
HMGB1P43				
CYR61	ENST00000451137	ENST00000451137	ENST00000451137	ENST00000451137
ERICH3			ENST00000326665	ENST00000326665
ABCG1	ENST00000361802	ENST00000361802	ENST00000361802	ENST00000361802
PSMD4	ENST00000368884	ENST00000368884	ENST00000368884	ENST00000368884
STRIP1	ENST00000369795	ENST00000369795	ENST00000369795	ENST00000369795
ZNF345	ENST00000529555	ENST00000529555	ENST00000420450	ENST00000420450
SNORA90				
RPL9P14				
C20orf78	ENST00000278779	ENST00000278779	ENST00000278779	ENST00000278779
DEFB108P3	ENSG00000255544	ENSG00000255544	ENSG00000255544	ENSG00000255544
STK4-AS1	ENST00000434401	ENST00000434401	ENST00000434401	ENST00000434401
TMEM183A	ENST00000367242	ENST00000367242	ENST00000367242	ENST00000367242
MYOF	ENST00000359263	ENST00000359263	ENST00000359263	ENST00000359263
ADGRF2			ENST00000296862	ENST00000296862
BRD7P6	ENSG00000235289	ENSG00000235289	ENSG00000235289	ENSG00000235289
MYDGF			ENST00000262947	ENST00000262947
DFNA40				
PTMAP6	ENSG00000237000	ENSG00000237000	ENSG00000237000	ENSG00000237000
TRAPPC6B	ENST00000330149	ENST00000330149	ENST00000330149	ENST00000330149
RN7SKP244	ENSG00000252322	ENSG00000252322	ENSG00000252322	ENSG00000252322
RNU6-491P	ENSG00000251908	ENSG00000251908	ENSG00000251908	ENSG00000251908
OR10G9	ENSG00000236981	ENSG00000236981	ENST00000375024	ENST00000375024
SLMAP	ENST00000295951	ENST00000295951	ENST00000428312	ENST00000428312
TNNI3K	ENST00000370891	ENST00000370891	ENST00000326637	ENST00000326637
COX6CP11	ENSG00000258668	ENSG00000258668	ENSG00000258668	ENSG00000258668
CLCNL2				
SPATA31A3	ENST00000356699	ENST00000356699	ENST00000428649	ENST00000428649
BRMS1L	ENST00000216807	ENST00000216807	ENST00000216807	ENST00000216807
TRIM60P9Y	ENSG00000227251	ENSG00000227251	ENSG00000227251	ENSG00000227251
ACSL1	ENST00000515030	ENST00000515030	ENST00000281455	ENST00000281455
OR56A3	ENSG00000184478	ENSG00000184478	ENST00000329564	ENST00000329564
TP53I11	ENST00000533940	ENST00000533940	ENST00000308212	ENST00000308212
XPOTP1	ENSG00000214185	ENSG00000214185	ENSG00000214185	ENSG00000214185
MIR92A1				
PCDHGB2	ENSG00000253910	ENSG00000253910	ENST00000522605	ENST00000522605
RANP1	ENST00000455094	ENST00000455094	ENST00000455094	ENST00000455094
AN1				
MIR6861				
OR52K3P	ENST00000531655	ENST00000531655	ENST00000531655	ENST00000531655
MRPL50P4	ENSG00000235469	ENSG00000235469	ENSG00000235469	ENSG00000235469
ANKHD1-EIF4EBP3	ENST00000532219	ENST00000532219	ENST00000532219	ENST00000532219
ASIC4	ENST00000347842	ENST00000347842	ENST00000347842	ENST00000347842
WFDC12	ENSG00000168703	ENSG00000168703	ENST00000372785	ENST00000372785
CAMTA1	ENST00000303635	ENST00000303635	ENST00000303635	ENST00000303635
LINC02092				
SNORD49A				
PGGHG			ENST00000409548	ENST00000409548
LINC01020	ENST00000508201	ENST00000508201	ENST00000508201	ENST00000508201
EPHB1	ENST00000398015	ENST00000398015	ENST00000398015	ENST00000398015
GLULP5	ENSG00000257915	ENSG00000257915	ENSG00000257915	ENSG00000257915
GAPDHP63	ENSG00000218582	ENSG00000218582	ENSG00000218582	ENSG00000218582
ARAP2	ENST00000303965	ENST00000303965	ENST00000303965	ENST00000303965
LOH12CR2	ENSG00000205791	ENSG00000205791	ENSG00000205791	ENSG00000205791
SNRPFP2	ENSG00000229786	ENSG00000229786	ENSG00000229786	ENSG00000229786
MTND4P41				
NCOA4	ENST00000578454	ENST00000578454	ENST00000581486	ENST00000581486
MKLN1	ENST00000352689	ENST00000352689	ENST00000352689	ENST00000352689
ZBTB40	ENST00000404138	ENST00000404138	ENST00000375647	ENST00000375647
RNU2-66P	ENSG00000222582	ENSG00000222582	ENSG00000222582	ENSG00000222582
RPL23AP94				
TRG				
SYNPO2L	ENST00000394810	ENST00000394810	ENST00000394810	ENST00000394810
EDDM3DP				
STAT4	ENST00000392320	ENST00000392320	ENST00000358470	ENST00000358470
NLRP14	ENSG00000158077	ENSG00000158077	ENST00000299481	ENST00000299481
HOXD12	ENST00000406506	ENST00000406506	ENST00000406506	ENST00000406506
OPRPN			ENST00000399575	ENST00000399575
OR8B4	ENSG00000198657	ENSG00000198657	ENST00000356130	ENST00000356130
SYT3	ENST00000338916	ENST00000338916	ENST00000338916	ENST00000338916
LINC01596				
TMX4	ENST00000246024	ENST00000246024	ENST00000246024	ENST00000246024
LAMA3	ENST00000313654	ENST00000313654	ENST00000313654	ENST00000313654
RPL41P1	ENST00000546176	ENST00000546176	ENST00000546176	ENST00000546176
CTSL3P	ENST00000412179	ENST00000412179	ENST00000412179	ENST00000412179
RNU6-480P	ENSG00000207060	ENSG00000207060	ENSG00000207060	ENSG00000207060
DPP10	ENST00000393147	ENST00000393147	ENST00000410059	ENST00000410059
ZNF579	ENST00000325421	ENST00000325421	ENST00000325421	ENST00000325421
OR13C7				
RNA5SP264	ENSG00000199985	ENSG00000199985	ENSG00000199985	ENSG00000199985
EEF1A1P21	ENSG00000249542	ENSG00000249542	ENSG00000249542	ENSG00000249542
RPS12P32				
MIR1276	ENSG00000221634	ENSG00000221634	ENSG00000221634	ENSG00000221634
KAT6A	ENST00000396930	ENST00000396930	ENST00000265713	ENST00000265713
NRARP	ENSG00000198435	ENSG00000198435	ENST00000356628	ENST00000356628
BIRC2	ENST00000227758	ENST00000227758	ENST00000227758	ENST00000227758
CADPS	ENST00000383710	ENST00000383710	ENST00000383710	ENST00000383710
DESI2	ENST00000302550	ENST00000302550	ENST00000302550	ENST00000302550
MIR3714	ENSG00000264818	ENSG00000264818	ENSG00000264818	ENSG00000264818
RUNDC3B	ENST00000338056	ENST00000338056	ENST00000338056	ENST00000338056
TNFAIP8L3	ENSG00000183578	ENSG00000183578	ENST00000327536	ENST00000327536
RPS27P13				
CHTOP	ENST00000368694	ENST00000368694	ENST00000368694	ENST00000368694
C5AR1	ENST00000355085	ENST00000355085	ENST00000355085	ENST00000355085
LYPLAL1	ENST00000366928	ENST00000366928	ENST00000366928	ENST00000366928
RNU6-162P	ENSG00000252037	ENSG00000252037	ENSG00000252037	ENSG00000252037
SCA26				
MROH7-TTC4	ENST00000414150	ENST00000414150	ENST00000414150	ENST00000414150
MRPL58			ENST00000301585	ENST00000301585
GPR97	ENST00000333493	ENST00000333493	ENST00000333493	ENST00000333493
CCL5	ENST00000605509	ENST00000605509	ENST00000603197	ENST00000603197
TSPAN32	ENST00000182290	ENST00000182290	ENST00000182290	ENST00000182290
RNU1-29P				
CD79B	ENST00000392795	ENST00000392795	ENST00000006750	ENST00000392795
RNU6-297P	ENSG00000207366	ENSG00000207366	ENSG00000207366	ENSG00000207366
LINC02160				
SAR1A	ENST00000373242	ENST00000373242	ENST00000373238	ENST00000373238
C1orf195	ENST00000376005	ENST00000376005	ENST00000376005	ENST00000376005
C6orf100	ENST00000438996	ENST00000438996	ENST00000438996	ENST00000438996
RNA5SP115	ENSG00000223092	ENSG00000223092	ENSG00000223092	ENSG00000223092
LINC01885				
LINC01191				
PMIS2				
SNORD115-33	ENSG00000200593	ENSG00000200593	ENSG00000200593	ENSG00000200593
MIR216A	ENSG00000207798	ENSG00000207798	ENSG00000207798	ENSG00000207798
IL27	ENST00000356897	ENST00000356897	ENST00000356897	ENST00000356897
NBPF25P				
PBOV1	ENSG00000254440	ENSG00000254440	ENST00000527246	ENST00000527246
RNA5S4	ENSG00000200381	ENSG00000200381	ENSG00000200381	ENSG00000200381
CRTAP	ENST00000320954	ENST00000320954	ENST00000320954	ENST00000320954
IGLV3-9	ENSG00000211670	ENSG00000211670	ENSG00000211670	ENSG00000211670
FAM187A	ENST00000331733	ENST00000331733	ENST00000331733	ENST00000331733
KNG1	ENST00000265023	ENST00000265023	ENST00000265023	ENST00000265023
EEF1AKMT1			ENST00000382754	ENST00000382754
TRY-GTA3-1				
KLF2P2	ENSG00000230646	ENSG00000230646	ENSG00000230646	ENSG00000230646
NIP7	ENST00000254940	ENST00000254940	ENST00000254940	ENST00000254940
TOP1	ENSG00000198900	ENSG00000198900	ENST00000361337	ENST00000361337
RN7SL148P	ENSG00000244066	ENSG00000244066	ENSG00000244066	ENSG00000244066
NUDT16P1	ENST00000499077	ENST00000499077	ENST00000499077	ENST00000499077
HSPE1P1	ENSG00000234878	ENSG00000234878	ENSG00000234878	ENSG00000234878
BANF1P4	ENSG00000223828	ENSG00000223828	ENSG00000223828	ENSG00000223828
PTX4	ENST00000293922	ENST00000293922	ENST00000447419	ENST00000447419
RPL7P15	ENSG00000240622	ENSG00000240622	ENSG00000240622	ENSG00000240622
SMAD7	ENST00000262158	ENST00000262158	ENST00000262158	ENST00000262158
DYNLL1P2				
CRYBG2				
RN7SKP292	ENSG00000202392	ENSG00000202392	ENSG00000202392	ENSG00000202392
CIB4	ENST00000288861	ENST00000288861	ENST00000288861	ENST00000288861
SPAG6	ENST00000376624	ENST00000376624	ENST00000376624	ENST00000376624
BLM	ENST00000355112	ENST00000355112	ENST00000355112	ENST00000355112
TMX2-CTNND1	ENSG00000254462	ENSG00000254462	ENSG00000254462	ENSG00000254462
ERVH-7				
RN7SL321P	ENSG00000265053	ENSG00000265053	ENSG00000265053	ENSG00000265053
MIR185	ENSG00000208023	ENSG00000208023	ENSG00000208023	ENSG00000208023
RPL13AP17	ENST00000450028	ENST00000450028	ENST00000450028	ENST00000450028
CTAG1A	ENST00000599837	ENST00000599837	ENST00000328435	ENST00000328435
MYCL	ENST00000397332	ENST00000397332	ENST00000372816	ENST00000397332
RASA2	ENST00000286364	ENST00000286364	ENST00000286364	ENST00000286364
VKORC1	ENST00000394975	ENST00000394975	ENST00000394975	ENST00000394975
C12orf23	ENST00000280756	ENST00000280756	ENST00000280756	ENST00000280756
GPR34	ENST00000378142	ENST00000378142	ENST00000378138	ENST00000378138
CYP26C1	ENSG00000187553	ENSG00000187553	ENST00000285949	ENST00000285949
TUBBP8	ENSG00000259300	ENSG00000259300	ENSG00000259300	ENSG00000259300
LINC02206				
TCOF1	ENST00000504761	ENST00000504761	ENST00000377797	ENST00000377797
BNIP3P36				
KRTAP5-4	ENSG00000241598	ENSG00000241598	ENST00000630519	ENST00000630519
PHF20	ENST00000374012	ENST00000374012	ENST00000374012	ENST00000374012
MIR7-3	ENSG00000207630	ENSG00000207630	ENSG00000207630	ENSG00000207630
PRNCR1	ENSG00000224722	ENSG00000224722	ENSG00000224722	ENSG00000224722
TGM6	ENST00000202625	ENST00000202625	ENST00000202625	ENST00000202625
MAP1B	ENST00000296755	ENST00000296755	ENST00000296755	ENST00000296755
HMGN1P16	ENSG00000249503	ENSG00000249503	ENSG00000249503	ENSG00000249503
RN7SKP193	ENSG00000201358	ENSG00000201358	ENSG00000201358	ENSG00000201358
LINC01152	ENST00000538693	ENST00000538693	ENST00000538693	ENST00000538693
DAZL	ENST00000250863	ENST00000250863	ENST00000399444	ENST00000399444
DGKZP1	ENST00000378718	ENST00000378718	ENST00000378718	ENST00000378718
NPM1P44				
RNU6-584P	ENSG00000222282	ENSG00000222282	ENSG00000222282	ENSG00000222282
ANGEL1	ENST00000251089	ENST00000251089	ENST00000251089	ENST00000251089
C15orf41	ENST00000566621	ENST00000566621	ENST00000437989	ENST00000437989
BBOF1			ENST00000394009	ENST00000394009
LINC01187				
HNRNPA0	ENSG00000177733	ENSG00000177733	ENST00000314940	ENST00000314940
TAAR3	ENST00000466706	ENST00000466706	ENST00000466706	ENST00000466706
SNAR-C3				
FCF1P6	ENSG00000225671	ENSG00000225671	ENSG00000225671	ENSG00000225671
LINC01399				
DFNA42				
CTPL1				
TRIM60P2Y				
RPL22P22	ENSG00000213653	ENSG00000213653	ENSG00000213653	ENSG00000213653
ST7	ENST00000265437	ENST00000265437	ENST00000265437	ENST00000265437
CHST14	ENST00000306243	ENST00000306243	ENST00000306243	ENST00000306243
GRIN3A	ENST00000361820	ENST00000361820	ENST00000361820	ENST00000361820
ACTG1P7				
MIR4676	ENSG00000266719	ENSG00000266719	ENSG00000266719	ENSG00000266719
RN7SKP14	ENSG00000251809	ENSG00000251809	ENSG00000251809	ENSG00000251809
OR51F5P	ENSG00000272634	ENSG00000272634	ENSG00000272634	ENSG00000272634
GCSAML	ENST00000366488	ENST00000366488	ENST00000366488	ENST00000366488
RPS25P9				
CIR1P2	ENSG00000250215	ENSG00000250215	ENSG00000250215	ENSG00000250215
PVALEF				
NDUFB4P4				
TMCC1-AS1	ENST00000605830	ENST00000605830	ENST00000605830	ENST00000605830
RN7SKP180	ENSG00000200783	ENSG00000200783	ENSG00000200783	ENSG00000200783
SEPT1	ENST00000321367	ENST00000321367	ENST00000321367	ENST00000321367
MTCYBP42				
ARHGEF2	ENST00000361247	ENST00000361247	ENST00000361247	ENST00000361247
NABP1	ENST00000425611	ENST00000425611	ENST00000425611	ENST00000425611
TYR	ENST00000263321	ENST00000263321	ENST00000263321	ENST00000263321
RGL4	ENST00000290691	ENST00000290691	ENST00000290691	ENST00000290691
ARF4-AS1				
MAGEB1	ENST00000378981	ENST00000378981	ENST00000378981	ENST00000378981
NEXMIF				
CACNA1C-AS3	ENSG00000256769	ENSG00000256769	ENSG00000256769	ENSG00000256769
FAM155A-IT1	ENSG00000227248	ENSG00000227248	ENSG00000227248	ENSG00000227248
LINC00998	ENST00000397764	ENST00000397764	ENST00000397764	ENST00000397764
TAF1B	ENST00000263663	ENST00000263663	ENST00000263663	ENST00000263663
GPR115	ENST00000283303	ENST00000283303	ENST00000283303	ENST00000283303
NEK10	ENST00000341435	ENST00000341435	ENST00000429845	ENST00000429845
CXCL16	ENST00000293778	ENST00000293778	ENST00000293778	ENST00000293778
MAMLD1	ENST00000599483	ENST00000599483	ENST00000262858	ENST00000262858
MIER2	ENST00000264819	ENST00000264819	ENST00000264819	ENST00000264819
MIR7975				
FOXP3	ENST00000602054	ENST00000602054	ENST00000376207	ENST00000376207
DBF4P1	ENST00000412976	ENST00000412976	ENST00000412976	ENST00000412976
VN1R44P				
PLEKHG4B	ENST00000283426	ENST00000283426	ENST00000283426	ENST00000283426
POLR2B	ENST00000381227	ENST00000381227	ENST00000314595	ENST00000314595
STIL	ENST00000371877	ENST00000371877	ENST00000360380	ENST00000360380
MALAT1	ENST00000534336	ENST00000534336	ENST00000534336	ENST00000534336
CTIF	ENST00000382998	ENST00000382998	ENST00000256413	ENST00000256413
RNU6-31P	ENSG00000207116	ENSG00000207116	ENSG00000207116	ENSG00000207116
CIR1P3	ENSG00000216708	ENSG00000216708	ENSG00000216708	ENSG00000216708
MRPS33	ENST00000393008	ENST00000393008	ENST00000324787	ENST00000324787
OR2W4P	ENSG00000216629	ENSG00000216629	ENSG00000216629	ENSG00000216629
CCDC90B	ENST00000529689	ENST00000529689	ENST00000529689	ENST00000529689
SCN9A	ENST00000409672	ENST00000409672	ENST00000303354	ENST00000303354
VENTXP5	ENSG00000253569	ENSG00000253569	ENSG00000253569	ENSG00000253569
DENND4C	ENST00000602925	ENST00000602925	ENST00000602925	ENST00000602925
RN7SL435P	ENSG00000263944	ENSG00000263944	ENSG00000263944	ENSG00000263944
LTBP1	ENST00000404816	ENST00000404816	ENST00000404816	ENST00000404816
DOCK9-AS2	ENSG00000260992	ENSG00000260992	ENSG00000260992	ENSG00000260992
RPLP0P6	ENST00000394878	ENST00000394878	ENST00000394878	ENST00000394878
C14orf142	ENST00000306954	ENST00000306954	ENST00000306954	ENST00000306954
RPS3AP14	ENSG00000242229	ENSG00000242229	ENSG00000242229	ENSG00000242229
TP53TG1	ENST00000432193	ENST00000432193	ENST00000432193	ENST00000432193
FYTTD1P1	ENSG00000234502	ENSG00000234502	ENSG00000234502	ENSG00000234502
RNU6-495P	ENSG00000199865	ENSG00000199865	ENSG00000199865	ENSG00000199865
ZNF644	ENST00000370440	ENST00000370440	ENST00000337393	ENST00000337393
PDZRN3	ENST00000263666	ENST00000263666	ENST00000263666	ENST00000263666
RN7SL359P	ENSG00000244384	ENSG00000244384	ENSG00000244384	ENSG00000244384
PET117	ENSG00000232838	ENSG00000232838	ENST00000432901	ENST00000432901
LINC02276				
LEFTY1	ENST00000272134	ENST00000272134	ENST00000272134	ENST00000272134
C18orf21	ENST00000592875	ENST00000592875	ENST00000592875	ENST00000592875
RBMY2NP	ENSG00000229208	ENSG00000229208	ENSG00000229208	ENSG00000229208
RNU4-74P	ENSG00000223212	ENSG00000223212	ENSG00000223212	ENSG00000223212
FAM202A				
ST6GALNAC5	ENST00000477717	ENST00000477717	ENST00000477717	ENST00000477717
TUBA3FP	ENST00000422086	ENST00000422086	ENST00000422086	ENST00000422086
NPM1P12	ENSG00000215311	ENSG00000215311	ENSG00000215311	ENSG00000215311
TGIF2P4				
MIR325HG				
FANK1-AS1	ENSG00000233409	ENSG00000233409	ENSG00000233409	ENSG00000233409
MIR551B	ENSG00000207717	ENSG00000207717	ENSG00000207717	ENSG00000207717
CD80	ENST00000264246	ENST00000264246	ENST00000264246	ENST00000264246
LINC00396	ENSG00000231428	ENSG00000231428	ENSG00000231428	ENSG00000231428
MRC1	ENST00000569591	ENST00000569591	ENST00000569591	ENST00000569591
UQCRHP3	ENSG00000224162	ENSG00000224162	ENSG00000224162	ENSG00000224162
NFIXL4				
LINC01332				
AADACP1				
UBE3AP1				
SPAG5	ENST00000321765	ENST00000321765	ENST00000321765	ENST00000321765
RFPL4A	ENSG00000223638	ENSG00000223638	ENST00000434937	ENST00000434937
